,icb23cd,icb_proj_perc_chg,icb_name
1,E54000008,1.907478638,QYG: NHS Cheshire And Merseyside ICB
2,E54000010,1.561411218,QNC: NHS Staffordshire And Stoke-On-Trent ICB
3,E54000011,2.49806243,"QOC: NHS Shropshire, Telford And Wrekin ICB"
4,E54000013,2.598305862,QJM: NHS Lincolnshire ICB
5,E54000015,3.694474831,"QK1: NHS Leicester, Leicestershire And Rutland ICB"
6,E54000018,3.439714839,QWU: NHS Coventry And Warwickshire ICB
7,E54000019,3.431991421,QGH: NHS Herefordshire And Worcestershire ICB
8,E54000022,2.697504543,QMM: NHS Norfolk And Waveney ICB
9,E54000023,1.191797886,QJG: NHS Suffolk And North East Essex ICB
10,E54000024,0.939322774,"QHG: NHS Bedfordshire, Luton And Milton Keynes ICB"
11,E54000025,2.169506816,QM7: NHS Hertfordshire And West Essex ICB
12,E54000026,1.015190455,QH8: NHS Mid And South Essex ICB
13,E54000027,0.566266109,QRV: NHS North West London ICB
14,E54000028,0.79182341,QMJ: NHS North Central London ICB
15,E54000029,1.076228256,QMF: NHS North East London ICB
16,E54000030,0.839707636,QKK: NHS South East London ICB
17,E54000031,0.292912131,QWE: NHS South West London ICB
18,E54000032,2.020223204,QKS: NHS Kent And Medway ICB
19,E54000034,0.11623909,QNQ: NHS Frimley ICB
20,E54000036,0.179130871,QT6: NHS Cornwall And the Isles of Scilly ICB
21,E54000037,3.277568853,QJK: NHS Devon ICB
22,E54000038,3.36067E-05,QSL: NHS Somerset ICB
23,E54000039,0.51684932,"QUY: NHS Bristol, North Somerset And South Gloucestershire ICB"
24,E54000040,1.08009972,"QOX: NHS Bath And North East Somerset, Swindon And Wiltshire ICB"
25,E54000041,8.77634E-06,QVV: NHS Dorset ICB
26,E54000042,2.271856139,QRL: NHS Hampshire And Isle of Wight ICB
27,E54000043,3.708398658,QR1: NHS Gloucestershire ICB
28,E54000044,1.695004809,"QU9: NHS Buckinghamshire, Oxfordshire And Berkshire West ICB"
29,E54000048,1.863935972,QE1: NHS Lancashire And South Cumbria ICB
30,E54000050,2.79268555,QHM: NHS North East And North Cumbria ICB
31,E54000051,0.610054943,QOQ: NHS Humber And North Yorkshire ICB
32,E54000054,0.39872436,QWO: NHS West Yorkshire ICB
33,E54000055,0.319621837,QHL: NHS Birmingham And Solihull ICB
34,E54000056,0.672690272,QUE: NHS Cambridgeshire And Peterborough ICB
35,E54000057,0.839363717,QOP: NHS Greater Manchester ICB
36,E54000058,1.953383166,QJ2: NHS Derby And Derbyshire ICB
37,E54000059,3.66436E-05,QPM: NHS Northamptonshire ICB
38,E54000060,2.278216819,QT1: NHS Nottingham And Nottinghamshire ICB
39,E54000061,0.427187941,QF7: NHS South Yorkshire ICB
40,E54000062,0.335967883,QUA: NHS Black Country ICB
41,E54000063,0.468454265,QXU: NHS Surrey Heartlands ICB
42,E54000064,4.12957479,QNX: NHS Sussex ICB
43,AT1,2.3,AT1: Anytown ICB_1
