residence_icb_code,residence_icb_name,provider_icb_code,provider_icb_name,age_group_admission,gender,ethnic_category_2,imd_quintile,provider_type,legal_status_group,lda_flag,der_ward_type_desc_first,oap_flag,spell_count,bed_days,bed_days_exHL,bed_days_delayed_days
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,141,139,0
AT4,AT4: Anytown ICB_4,AT1,AT1: Anytown ICB_1,65+,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,26,26,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,2,133,132,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,NA,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,68,68,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,Other ethnic groups,4,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,147,135,62
AT25,AT25: Anytown ICB_25,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Formally detained,No,Adult Mental Health Ward,1,1,178,189,0
AT5,AT5: Anytown ICB_5,AT1,AT1: Anytown ICB_1,18-24,1,NA,5,NHS,Formally detained,Yes,Adult Mental Health Ward,1,1,7,6,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,NA,3,NHS,Formally detained,No,Adult Mental Health Ward,0,12,621,571,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,1,White,3,Independent,Not formally detained,No,Adult Mental Health Ward,1,1,20,21,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,65+,1,Black or Black British,1,NHS,Formally detained,No,Adult Mental Health Ward,1,2,400,400,244
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,NA,4,NHS,Not formally detained,No,Learning Disabilities Ward,0,4,190,178,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,White,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,2,85,87,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,11,592,561,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Asian or Asian British,1,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,31,30,0
AT8,AT8: Anytown ICB_8,AT1,AT1: Anytown ICB_1,25-64,2,NA,1,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,25,26,0
AT13,AT13: Anytown ICB_13,AT1,AT1: Anytown ICB_1,25-64,1,NA,NA,NHS,Not formally detained,No,Adult Mental Health Ward,1,1,42,42,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,Mixed,3,NHS,Not formally detained,No,Learning Disabilities Ward,0,4,582,592,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,1,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,2,61,61.5,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,3,58,58,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,NA,NHS,Formally detained,Yes,Adult Mental Health Ward,0,2,26,27,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,2,NA,4,NHS,Not formally detained,No,Learning Disabilities Ward,0,4,717,865,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,NA,1,NHS,Formally detained,No,Learning Disabilities Ward,0,9,416,423,0
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,1,2,84,87,0
AT1,AT1: Anytown ICB_1,AT4,AT4: Anytown ICB_4,25-64,1,White,3,Independent,Formally detained,No,Adult Mental Health Ward,1,1,18,18,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,White,3,NHS,Formally detained,No,Adult Mental Health Ward,0,9,865,690,29
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,1,Mixed,2,NHS,Formally detained,No,Adult Mental Health Ward,0,1,97,97,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,18-24,2,Asian or Asian British,3,NHS,Formally detained,No,Adult Mental Health Ward,0,1,152,152,0
AT6,AT6: Anytown ICB_6,AT1,AT1: Anytown ICB_1,25-64,1,White,1,NHS,Not formally detained,No,Learning Disabilities Ward,1,1,10,10,0
AT19,AT19: Anytown ICB_19,AT1,AT1: Anytown ICB_1,25-64,2,NA,5,NHS,Formally detained,No,Adult Mental Health Ward,1,1,14,14,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,65+,2,Asian or Asian British,4,NHS,Formally detained,No,Adult Mental Health Ward,0,1,28,27,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,65+,1,White,5,NHS,Not formally detained,No,Learning Disabilities Ward,1,21,63,63,0
AT1,AT1: Anytown ICB_1,AT5,AT5: Anytown ICB_5,25-64,2,Other ethnic groups,4,Independent,Formally detained,No,NA,1,1,1,1,0
AT1,AT1: Anytown ICB_1,AT2,AT2: Anytown ICB_2,25-64,1,White,2,Independent,Not formally detained,No,Adult Mental Health Ward,1,2,175,184,0
AT1,AT1: Anytown ICB_1,AT12,AT12: Anytown ICB_12,25-64,2,White,2,NHS,Formally detained,Yes,Adult Mental Health Ward,1,2,131,132,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,00-17,1,Other ethnic groups,1,NHS,Not formally detained,Yes,Learning Disabilities Ward,0,1,13,14,0
AT3,AT3: Anytown ICB_3,AT1,AT1: Anytown ICB_1,00-17,1,White,4,NHS,Not formally detained,No,Learning Disabilities Ward,1,14,64,64,0
AT1,AT1: Anytown ICB_1,AT9,AT9: Anytown ICB_9,25-64,1,NA,2,Independent,Not formally detained,No,NA,1,1,33,33,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,19,744,685,63
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,White,5,NHS,Not formally detained,No,Adult Mental Health Ward,0,15,744,725,84
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,White,4,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,3,257,244,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,2,Mixed,2,NHS,Not formally detained,No,Adult Mental Health Ward,0,1,7,7,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,3,NHS,Not formally detained,No,Adult Mental Health Ward,0,4,208,202,0
AT1,AT1: Anytown ICB_1,AT1,AT1: Anytown ICB_1,25-64,1,Asian or Asian British,5,NHS,Not formally detained,Yes,Adult Mental Health Ward,0,6,157,157,0
